"rep","config","strategy","int_strat","n_enc","elapsed","beta1_mean","beta1_sd","beta1_lo","beta1_hi","range_mean","range_lo","range_hi","sigma_mean","sigma_lo","sigma_hi"
17,"Full Laplace, grid","laplace","grid",344,5.05000000000018,-1.87104097477148,0.272998470138735,-2.39855598705091,-1.31781162654114,3.79942092037669,1.61388903716358,6.60862468048981,0.722761777767993,0.396682887243189,1.00634185622624
18,"Gaussian","gaussian","eb",355,4.34000000000015,-1.65855916805788,0.338677458029475,-2.32235478817122,-0.994763547944531,4.04851918657516,2.1785217691685,6.31120681662861,1.11251071711776,0.649468636675082,1.52107586349126
18,"Simplified Laplace","simplified.laplace","eb",355,4.10000000000036,-1.65855919025855,0.338677409045125,-2.32235471436434,-0.994763666152769,4.04851994877585,2.1785204747579,6.31121209534375,1.11251091976897,0.649468573181139,1.52107645942667
18,"Full Laplace, eb (main)","laplace","eb",355,4.30999999999949,-1.65855923759201,0.338677542426394,-2.32235502312027,-0.994763452063739,4.04851978232315,2.17851986072459,6.31121105947924,1.11251107164726,0.649468355668885,1.52107665944076
18,"Full Laplace, grid","laplace","grid",355,5.09000000000015,-1.66081479912815,0.352618337268969,-2.36480402752905,-0.969633960840179,4.04851877346224,2.1785215156887,6.31120610520366,1.1125107365842,0.649468779705477,1.52107567801703
19,"Gaussian","gaussian","eb",265,3.74000000000069,-1.53556140139479,0.237889387540093,-2.00181603327766,-1.06930676951191,2.97641263335738,1.46071207379067,4.82116525257509,0.720870642481204,0.411290862070405,0.985268027086098
19,"Simplified Laplace","simplified.laplace","eb",265,3.94999999999982,-1.53556140139479,0.237889387540093,-2.00181603327766,-1.06930676951191,2.97641263335738,1.46071207379067,4.82116525257509,0.720870642481204,0.411290862070405,0.985268027086098
19,"Full Laplace, eb (main)","laplace","eb",265,4.22999999999956,-1.53556147394149,0.237889453420766,-2.00181623494811,-1.06930671293487,2.97641370124246,1.46070978684969,4.82117044139623,0.720870890680966,0.411290428873502,0.985268780263773
19,"Full Laplace, grid","laplace","grid",265,5.05999999999949,-1.53666024870497,0.253346899780418,-2.05936493062034,-1.05604698072075,2.97641201457355,1.46071241834677,4.82116298263497,0.720870634678038,0.411291048049871,0.985267770775168
20,"Gaussian","gaussian","eb",375,4.06999999999971,-1.71087001604236,0.258866615269755,-2.21823925877087,-1.20350077331386,2.79095465792585,1.58599193830349,4.21388757182741,0.866653143485518,0.555025235880547,1.14170705855035
20,"Simplified Laplace","simplified.laplace","eb",375,4.38999999999942,-1.71086927790699,0.258866125659851,-2.21823756101772,-1.20350099479626,2.79095465326202,1.58599545134718,4.21388677587667,0.866652571500594,0.555026040690672,1.14170606016516
20,"Full Laplace, eb (main)","laplace","eb",375,4.38000000000011,-1.71086998825547,0.258866595505449,-2.21823919224665,-1.20350078426429,2.79095548756878,1.58599045384799,4.21389193920806,0.866653289685703,0.555024955764214,1.14170761341764
20,"Full Laplace, grid","laplace","grid",375,5.19000000000051,-1.72290892490623,0.28059871086374,-2.30903716836848,-1.19825803058987,2.7909555858571,1.58599308706518,4.21388995986882,0.866652864907812,0.555025239536691,1.1417070172062
21,"Gaussian","gaussian","eb",373,4.14000000000033,-2.007064581173,0.306955802057154,-2.60868689805063,-1.40544226429537,5.41615032720331,2.32643489781422,9.37671779857739,1.01846254045315,0.479494518574545,1.49349277575993
21,"Simplified Laplace","simplified.laplace","eb",373,3.75,-2.007064581173,0.306955802057154,-2.60868689805063,-1.40544226429537,5.41615032720331,2.32643489781422,9.37671779857739,1.01846254045315,0.479494518574545,1.49349277575993
