"rep","mesh_cfg","mesh_n","n_enc","elapsed","beta1_mean","beta1_sd","beta1_lo","beta1_hi","range_mean","range_lo","range_hi","sigma_mean","sigma_lo","sigma_hi"
32,"Standard (main study)",2340,182,4.6899999999996,-1.934320285821,0.274761726830844,-2.47284337473948,-1.39579719690251,2.22301508018018,1.10495075595387,3.59049191908955,0.896941914794565,0.517369136575625,1.22164989216796
32,"Fine + extended boundary",9230,182,22.75,-1.91006139064421,0.278279862803753,-2.45547989936231,-1.36464288192611,1.74193288035343,0.928522535341648,2.71486801468937,0.972191147019688,0.618497166479641,1.27334916675634
33,"Coarse",621,217,1.56999999999971,-1.99432428653367,0.263895973730859,-2.51155089071128,-1.47709768235605,3.28555941388636,1.50520532340103,5.50785689797639,0.844942305199069,0.449229176372125,1.18794426957251
33,"Standard (main study)",2340,217,4.27999999999884,-1.9249522862647,0.275081641048327,-2.4641023955276,-1.3858021770018,2.54693481621415,1.31737556683145,4.03184326347006,0.910740912473791,0.551252411401668,1.22235477152455
33,"Fine + extended boundary",9230,217,20.4600000000009,-1.89599652194318,0.276683948384961,-2.43828709587805,-1.35370594800832,2.06532942223556,1.09982828798647,3.22258297969593,0.953606083695816,0.62014267258851,1.24153917464071
34,"Coarse",621,426,1.76000000000022,-3.40429834746959,0.351719390566016,-4.09365568564336,-2.71494100929583,5.95685538987199,2.46166518017121,10.4291628382137,1.62363065848497,0.62011703741244,2.50932033997464
34,"Standard (main study)",2340,426,4.52000000000044,-2.6490206205332,0.326361885984498,-3.28867816298938,-2.00936307807702,3.23876019678795,1.74012509185414,5.048929822437,1.19208466609074,0.703969349340547,1.62840275216303
34,"Fine + extended boundary",9230,426,22.4699999999993,-2.43481924981827,0.315606804228006,-3.05339721938095,-1.81624128025559,2.42752326769482,1.40421869185198,3.63939300177628,1.14169465340805,0.761422432595339,1.48376902041955
35,"Coarse",621,144,1.67000000000007,-1.70593829951998,0.21873819517716,-2.13465728411051,-1.27721931492946,4.9937283801819,0.834564187057016,11.8077052774022,0.541844423129377,0.22458757270463,0.795967890487394
35,"Standard (main study)",2340,144,4.3799999999992,-1.58074733407784,0.220809094102694,-2.01352520597803,-1.14796946217764,2.01926610469406,0.84852090890163,3.54478004925893,0.644229991632121,0.350544994793003,0.877857139558301
35,"Fine + extended boundary",9230,144,21.0900000000001,-1.53660990114602,0.22161152996979,-1.97096051844563,-1.10225928384641,1.36681775100496,0.711678868763007,2.1598487485901,0.775992607544683,0.474450430545422,1.02083472151462
36,"Coarse",621,228,1.71999999999935,-2.03850437507753,0.313670616897101,-2.6532874872043,-1.42372126295075,5.58289337580153,2.37544036504936,9.70882875583585,1.20788412996634,0.596358958352587,1.74894261288322
36,"Standard (main study)",2340,228,4.31000000000131,-1.77092914097427,0.310702169957391,-2.3798942040092,-1.16196407793934,3.75497932674605,1.76331529767258,6.23805668254542,1.12314633093697,0.665490265808521,1.52570371722295
36,"Fine + extended boundary",9230,228,20.5,-1.68485681549097,0.304292969038345,-2.28126007555489,-1.08845355542705,2.83937897923671,1.34183225316466,4.70989675541451,1.10683576647407,0.720143248600386,1.44549191010767
37,"Coarse",621,346,1.57999999999993,-2.73888218201569,0.294062172158669,-3.3152334486623,-2.16253091536908,3.11084389447577,1.60012952228681,4.94014722156803,0.918615086766872,0.527829960432474,1.26122655661539
37,"Standard (main study)",2340,346,4.17000000000007,-2.52075917777647,0.300944001763757,-3.1105985825968,-1.93091977295615,2.51664086741932,1.44059783523396,3.78677069243279,0.960719087659014,0.610472923823257,1.27041922022885
37,"Fine + extended boundary",9230,346,21.4600000000009,-2.51871190019048,0.307978537570601,-3.12233874184017,-1.91508505854079,1.99412919436634,1.20050300048781,2.91576051848685,1.00061231710976,0.684866029233005,1.28046751176949
38,"Coarse",621,153,1.64000000000124,-2.04323920981365,0.264951850378865,-2.56253529419347,-1.52394312543383,6.31318205078588,1.71930392746811,12.943409494457,0.828081342459425,0.294709558046015,1.27815818208384
38,"Standard (main study)",2340,153,4.17000000000007,-2.06290167460107,0.281450896375816,-2.61453529491418,-1.51126805428795,4.5554231791241,1.36909115478216,9.00365863275237,0.834972349272259,0.358235257159086,1.22939445238782
38,"Fine + extended boundary",9230,153,21.5,-2.08738476815682,0.290623688549192,-2.65699673076742,-1.51777280554622,3.79520672178748,1.09782431218871,7.65076057822023,0.851120497697744,0.400882954171221,1.22289359552391
39,"Coarse",621,220,1.53000000000065,-2.00655608709705,0.279115387356889,-2.5536121938475,-1.4594999803466,4.54104709966834,1.76580856900215,8.19095691564288,0.944163448071271,0.440456467025535,1.385302191934
39,"Standard (main study)",2340,220,4.15999999999985,-1.9551005870585,0.29206160672604,-2.52753081750844,-1.38267035660856,3.58105587606001,1.52645846605122,6.22005021386393,0.980090751030682,0.509512376446184,1.39053027017091
39,"Fine + extended boundary",9230,220,21.3600000000006,-1.98978012766434,0.297267760058537,-2.57241423114396,-1.40714602418471,2.85577245407858,1.2386783173028,4.93135937728624,0.985351715506277,0.562099586253123,1.35272991587724
40,"Coarse",621,212,2.09000000000015,-2.29842264277145,0.251484030750833,-2.79132228573005,-1.80552299981286,5.18189401653865,2.00185347001092,9.39426359510109,0.795603812411175,0.322593762633079,1.20848606816262
